,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Hotel Sheraton Surabaya,0.0,735.24,1830.64,2056.16,449.77,1102.7,576.44,2013.11,1924.12,1606.46,2101.53,1819.42,2668.69,2941.83,2145.35,1827.21,8637.25,9291.31,10088.97,9545.78,8179.7,8927.47,6698.18,7064.36,6341.39,5184.03,2709.96,3558.0,4335.9,4413.6,2359.81,5632.01,6057.52,5817.42,3756.37,6279.72,4127.13,3867.42,5398.67,3517.38,4926.82,4598.05,4560.6,4598.05,3418.38,3488.18,4086.42,3524.59,5843.64,4949.67,7664.08
Alun-Alun Surabaya,2607.88,0.0,2318.09,2543.61,1517.42,1559.25,1644.08,1277.87,1527.28,1359.56,3476.61,3194.49,3125.24,3429.28,3547.78,1570.56,9282.52,9936.57,10882.03,10338.85,9097.31,9572.74,7757.5,7709.62,6986.65,5640.58,1974.72,2822.75,3600.65,3678.35,1624.57,4896.77,5636.41,5396.3,3021.12,5544.48,4614.58,4354.88,5886.12,4004.83,5414.27,5085.5,5048.05,5085.5,3905.83,3418.93,4542.97,3981.14,6300.19,5406.22,8120.63
Jalan Tunjungan,289.79,1025.03,0.0,225.52,739.56,1392.49,866.23,2302.9,2213.91,1896.25,1597.96,1315.85,2958.48,2530.21,1641.78,2117.0,8133.68,8787.74,9585.4,9042.22,7676.13,8423.9,6194.61,6560.79,5837.82,5473.81,2999.75,3847.79,4625.68,4703.39,2649.6,5921.8,6347.31,6107.2,4046.15,6569.51,4416.91,4085.38,4987.05,3807.17,5216.61,4186.43,4148.98,4186.43,3708.16,3777.97,4376.21,3814.38,6133.42,5239.46,7953.87
Hotel Majapahit,64.27,799.51,1809.76,0.0,514.04,1166.97,640.7,2077.38,1988.39,1670.73,1372.44,1090.33,2732.96,2304.69,1416.26,1891.48,7908.16,8562.22,9359.88,8816.69,7450.61,8198.38,5969.08,6335.27,5612.3,5248.29,2774.23,3622.27,4400.16,4477.87,2424.08,5696.28,6121.79,5881.68,3820.63,6343.99,4191.39,3859.86,4761.53,3581.65,4991.09,3960.91,3923.46,3960.91,3482.64,3552.45,4150.69,3588.86,5907.9,5013.94,7728.35
Gedung Negara Grahadi,2893.36,285.47,2603.57,2829.09,0.0,652.93,126.67,1563.34,1474.35,1645.03,3017.68,2735.56,2218.92,3714.76,3061.5,1856.04,8376.2,9030.25,9975.71,9432.53,8190.99,8666.42,6851.18,6803.3,6080.33,4734.26,2260.19,3108.23,3886.13,3963.83,1910.04,5182.24,5607.75,5367.65,3306.6,5829.95,4900.05,4640.35,6171.59,4290.31,5699.75,5370.97,5333.53,5370.97,4191.3,3704.4,3636.65,3074.82,5393.87,4499.9,7214.31
Monumen Bambu Runcing,3887.88,1279.99,3598.09,3823.61,2052.09,0.0,1835.81,1870.94,1016.28,2639.55,3415.21,3133.1,1565.99,4347.46,3459.03,2850.56,7723.27,8377.32,9322.78,8779.6,7538.06,8013.49,6198.25,6150.37,5427.4,4081.33,2862.42,4102.75,4332.35,4337.98,2180.43,5677.7,4954.82,4714.72,3736.97,5260.0,5894.57,5634.87,6804.3,5284.83,6694.27,6003.68,5966.23,6003.68,5185.82,4698.92,2983.73,2421.89,4740.94,3846.97,6561.38
Taman Apsari,3168.68,560.8,2878.89,3104.41,275.32,928.25,0.0,1838.67,1749.67,1920.35,2911.91,2629.79,2114.12,3844.16,2955.73,2131.36,8271.4,8925.46,9870.92,9327.73,8086.19,8561.62,6746.38,6698.5,5975.54,4629.46,2535.51,3383.55,4161.45,4239.15,2185.36,5457.56,5502.96,5262.85,3581.92,5808.13,5175.37,4915.67,6300.99,4565.63,5975.07,5500.37,5462.93,5500.37,4466.62,3979.72,3531.86,2970.02,5289.07,4395.11,7109.52
Monumen Kapal Selam,3121.0,513.12,2831.21,3056.73,1883.98,795.8,1667.71,0.0,249.41,1872.68,3248.85,2966.74,2200.31,3942.4,3292.67,2083.68,8357.59,9011.64,9957.1,9413.92,8172.38,8647.81,6832.57,6784.69,6061.72,4715.65,2443.33,3335.87,3913.25,3975.11,1761.34,5270.27,5244.17,5004.06,3317.88,5549.34,5127.7,4868.0,6399.24,4517.95,5927.39,5598.62,5561.17,5598.62,4418.95,3932.05,3618.04,2711.23,5375.26,4481.29,7195.7
Plaza Surabaya,2871.59,263.71,2581.8,2807.32,1634.58,634.69,1418.3,1165.23,0.0,1623.27,2999.44,2717.33,2200.68,3692.99,3043.26,1834.27,8357.96,9012.02,9957.48,9414.3,8172.76,8648.18,6832.94,6785.06,6062.1,4716.02,2193.92,3086.46,3663.84,3725.7,1511.93,5020.86,5566.48,5326.38,3068.47,5591.82,4878.29,4618.59,6149.83,4268.54,5677.98,5349.21,5311.76,5349.21,4169.54,3682.64,3618.42,3056.58,5375.63,4481.67,7196.08
Taman Prestasi,2345.32,1540.33,2055.53,2281.05,1254.85,1907.78,1381.52,1956.74,2206.15,0.0,3214.04,2931.93,3473.77,2841.4,3285.21,747.76,9631.05,10285.11,11184.66,10641.47,9445.84,9921.27,7793.86,8058.15,7335.19,5989.11,2538.42,3386.45,4164.35,4242.05,2303.44,5460.46,6200.11,5960.0,3584.82,6108.18,3851.68,3591.98,5272.77,3241.94,4651.38,4497.62,4460.17,4497.62,3142.93,2817.97,4891.51,4329.67,6648.72,5754.76,8469.17
