,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Hotel Sheraton Surabaya,0.0,3.875,2.964,3.033,4.0,4.0,3.5,3.235,3.588,2.458,3.8,3.857,4.0,3.145,3.429,2.194,3.312,3.152,2.349,2.33,2.621,2.938,2.465,3.239,3.148,3.016,3.583,3.214,2.929,3.432,3.08,3.545,3.456,3.449,3.653,3.27,2.576,2.757,2.69,2.773,2.519,2.984,3.42,2.984,2.85,3.195,3.679,3.08,3.612,4.151,3.494
Alun-Alun Surabaya,2.957,0.0,2.857,2.909,2.5,2.875,2.444,2.667,2.727,2.0,2.594,2.581,3.419,3.067,2.5,2.024,3.041,2.924,3.104,3.107,2.244,2.745,3.28,2.976,2.865,2.785,3.438,3.019,2.706,3.333,2.706,3.489,3.328,3.321,3.589,3.182,2.585,2.739,2.686,2.75,2.533,2.949,3.333,2.949,2.811,3.625,3.3,2.755,3.336,3.821,3.307
Jalan Tunjungan,4.0,3.9,0.0,4.0,4.0,4.0,3.6,3.316,3.632,2.679,3.909,4.0,4.0,4.0,3.4,2.375,3.301,3.133,2.305,2.284,2.587,2.909,2.403,3.224,3.123,3.047,3.615,3.257,2.977,3.457,3.148,3.561,3.471,3.464,3.671,3.292,2.635,3.5,3.101,2.843,2.571,3.508,4.0,3.508,2.922,3.233,3.693,3.12,3.625,4.145,3.506
Hotel Majapahit,4.0,3.889,3.867,0.0,4.0,4.0,3.556,3.278,3.611,2.577,3.9,4.0,4.0,4.0,3.333,2.289,3.291,3.122,2.288,2.267,2.574,2.895,2.379,3.212,3.107,3.032,3.6,3.236,2.953,3.444,3.115,3.554,3.464,3.457,3.662,3.281,2.606,3.491,3.09,2.809,2.545,3.5,4.0,3.5,2.887,3.214,3.686,3.1,3.619,4.148,3.5
Gedung Negara Grahadi,3.0,3.5,2.913,2.958,0.0,4.0,2.0,2.818,3.364,2.167,3.783,3.818,4.0,3.085,3.545,2.152,3.164,3.024,3.212,3.219,2.263,2.824,3.455,3.093,2.985,2.911,3.444,3.052,2.75,3.342,2.789,3.49,3.403,3.395,3.583,3.193,2.618,2.772,2.705,2.786,2.563,2.965,3.338,2.965,2.846,3.62,3.625,2.934,3.567,4.17,3.456
Monumen Bambu Runcing,2.912,2.818,2.844,2.879,3.909,0.0,3.684,2.955,2.75,2.333,3.963,4.0,4.0,4.0,3.769,2.297,3.08,2.934,3.147,3.152,2.148,2.718,3.39,3.0,2.862,2.755,2.75,2.961,2.47,3.415,2.783,3.089,3.327,3.318,2.872,3.155,2.625,2.755,3.253,2.765,2.576,3.609,4.0,3.609,2.812,3.464,3.534,2.694,3.5,4.2,3.403
Taman Apsari,2.964,3.0,2.885,2.926,2.667,3.6,0.0,2.786,3.214,2.238,3.571,3.6,3.8,3.833,3.3,2.212,3.088,2.951,3.15,3.155,2.195,2.747,3.375,3.014,2.889,2.796,3.333,3.016,2.744,3.293,2.773,3.442,3.317,3.308,3.5,3.158,2.621,2.765,3.112,2.778,2.568,3.465,3.879,3.465,2.833,3.561,3.485,2.764,3.47,4.089,3.39
Monumen Kapal Selam,2.964,3.0,2.885,2.926,3.421,2.714,3.062,0.0,3.0,2.238,3.615,3.64,3.318,3.06,3.4,2.212,2.967,2.843,3.049,3.051,2.129,2.647,3.227,2.893,2.754,2.643,2.589,3.016,2.365,2.7,2.571,2.231,3.281,3.272,2.757,3.114,2.621,2.765,2.703,2.778,2.568,2.953,3.309,2.953,2.833,3.561,3.208,2.652,3.279,3.851,3.266
Plaza Surabaya,2.962,3.0,2.875,2.92,3.471,3.625,3.071,2.364,0.0,2.158,3.667,3.696,3.87,3.062,3.435,2.146,3.136,3.0,3.188,3.194,2.252,2.802,3.418,3.066,2.955,2.877,2.558,3.017,2.337,2.686,2.526,2.208,2.952,2.944,2.743,2.75,2.607,2.755,2.697,2.767,2.555,2.951,3.318,2.951,2.825,3.585,3.554,2.885,3.519,4.104,3.425
Taman Prestasi,3.105,2.714,3.0,3.056,2.583,3.105,2.5,2.625,2.659,0.0,2.643,2.63,3.5,3.0,2.532,1.833,3.085,2.968,2.236,2.217,2.294,2.794,2.282,3.023,2.922,2.853,2.979,2.8,2.583,3.102,2.661,3.282,3.193,3.187,3.25,3.04,2.38,2.5,2.25,2.486,2.353,2.89,3.34,2.89,2.529,3.28,3.365,2.85,3.383,3.847,3.341
Gedung Siola,3.857,3.867,3.8,3.833,3.923,3.95,3.667,2.839,3.667,2.75,0.0,2.5,3.971,3.871,2.361,2.389,2.964,2.85,2.173,2.15,1.968,2.668,2.194,2.896,2.771,3.101,3.078,2.907,2.71,3.144,2.819,3.294,3.493,3.487,3.273,3.077,2.652,3.35,2.958,3.64,2.583,3.373,3.918,3.373,2.967,3.28,3.704,3.186,3.638,4.117,3.522
Pasar Blauran,3.75,3.812,3.667,3.714,3.857,3.905,3.625,2.845,3.64,2.769,3.0,0.0,2.554,4.0,2.438,2.421,3.056,2.917,2.196,2.172,1.975,2.706,2.234,2.979,2.842,2.507,3.076,2.909,2.716,3.142,2.824,3.289,3.487,3.48,3.267,3.076,2.969,3.394,2.971,3.712,2.884,3.413,4.0,3.413,3.673,3.274,3.69,3.183,2.976,4.25,3.672
