,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Hotel Sheraton Surabaya,0.0,833.2762473867942,404.2301423155069,268.46788033040383,540.8041042417321,1069.01812448655,579.5651725404896,1605.4640659883494,1330.4036109106887,881.0707262239113,968.2283748368055,1231.4068629952633,506.51768839686787,2358.425278432809,1552.0237932412924,1473.2975983084023,7655.703337895895,8923.259403044978,9272.67687779428,8860.168444032905,7146.015186465134,8153.44396553127,5553.214695717368,6334.376377065719,5828.600220636365,4852.923103955393,2791.122393501928,3761.997791439434,4328.177590316051,4261.865534527209,1997.0884803184695,5457.689587394393,5774.539281082395,5631.679272232396,3315.3846629255477,5782.370055758742,3938.8245583313083,3750.4416328588645,4578.804671142757,3435.4625615254063,4472.126788835213,3846.1143604705417,4169.6162988217375,3913.229571692709,3698.1612486868316,3193.9996379994222,4239.047371233078,3407.549416715981,5010.144953332456,4812.681523993136,7779.334562709179
Alun-Alun Surabaya,833.2762473867942,0.0,1108.8227642472568,946.2155549969956,292.8908025967055,619.5355344936364,389.99498945320033,774.4441110422792,498.86118656125905,536.10545953953,1664.3443907607325,1997.166129733027,682.6293677273125,2787.3980414055795,2384.426409703605,1377.6427975296485,8306.932029583957,9555.674112439718,9929.1590713158,9537.856586449814,7773.439404525791,8783.836531941533,6358.929929438262,6856.992063595792,6252.963728839409,5115.574936097262,1958.989262024453,2928.7348928442602,3498.286923076446,3451.2279470239296,1164.4998752708668,4630.187110785291,5196.577337288544,5069.9220264634405,2490.889769778378,5013.261591968911,4285.202339634994,4015.356687257124,4998.0655254512485,3639.5274661557955,4699.478310190533,4212.3877351903075,4679.470676657258,4295.606531772172,3816.021407520968,3216.278704438435,4088.2011787378256,3216.228222696902,4925.098695101796,4716.840031328202,7798.064203199297
Jalan Tunjungan,404.2301423155069,1108.8227642472568,0.0,166.2439704942204,829.7972581587253,1453.3169232819712,947.1466015406074,1873.8917896557673,1600.5691720847217,951.1311859453133,577.4574781930106,888.3642103771565,910.6633275991185,1962.896405688119,1349.6445651109827,1296.0795196447511,7715.504142426887,8994.3196796369,9324.188275735069,8894.915281428164,7225.902486260031,8227.959108741607,5444.265286185589,6487.288103218182,6037.0718336507625,5135.8872869341585,3046.354718588195,3997.7021473227833,4588.822807934879,4559.051163853988,2254.77853652871,5724.378526360873,6168.348999509807,6027.507523083765,3592.076782178271,6115.88071808178,3548.587336884282,3375.878522572871,4178.563902106644,3077.1455474704344,4102.282976063962,3453.2160313291424,3765.388090173159,3518.001768191949,3361.0082698235774,2893.227596753503,4626.235709894195,3802.0992077871633,5384.89651187097,5189.862506311949,8125.993449554351
Hotel Majapahit,268.46788033040383,946.2155549969956,166.2439704942204,0.0,664.6008735968868,1291.3926737435486,783.3077996620906,1714.5733847029062,1440.3755045465532,830.6185610137527,742.3059749403388,1052.2378819205846,766.0425838563064,2091.560092010514,1481.849486226536,1279.1200307097274,7767.7628795282435,9042.488194708349,9380.110664402013,8957.184474736545,7270.0273916765,8274.554544562809,5555.451944265642,6500.543308036878,6024.938686678337,5086.05567770985,2890.8017316162855,3846.684084690546,4433.135059430596,4397.35945085303,2097.8715391052833,5567.896422616469,6008.019863022287,5868.23659603932,3433.1550331778412,5950.4493290896835,3670.612416341212,3482.731549660529,4313.888091921183,3170.757381347381,4205.217492863396,3578.306381078255,3913.058664286179,3645.979891979748,3439.4983917617124,2948.131990769543,4507.495484110012,3675.562693258589,5277.160122931266,5080.110305425717,8038.996380548398
Gedung Negara Grahadi,540.8041042417321,292.8908025967055,829.7972581587253,664.6008735968868,0.0,712.6701849210378,254.32231856365237,1066.9135883157262,791.3931854960416,536.5444265774506,1396.833897769721,1716.659723122724,494.82288457027937,2604.125399250257,2091.541877711649,1342.1856793823677,8082.202023254674,9338.125255687732,9703.218764323956,9304.253243101499,7556.766270307784,8566.66739519629,6078.300239249907,6675.975553052707,6105.070846639931,5021.006084475888,2251.83177046356,3221.2997443491836,3790.734759200793,3737.7793039711178,1457.3786372429447,4922.086588238392,5401.15318743233,5268.4482724028385,2781.743871852373,5286.087524891563,4136.511736725321,3892.3358931708913,4827.901034550747,3534.8565602857466,4591.730708372905,4056.952388894549,4479.637043340072,4135.265269866892,3741.6229614499325,3171.139488847083,4135.119480786154,3272.881391080747,4951.713540725482,4746.596735948147,7793.934345896818
Monumen Bambu Runcing,1069.01812448655,619.5355344936364,1453.3169232819712,1291.3926737435486,712.6701849210378,0.0,511.1047606132613,906.914779533973,727.5234998746641,1151.5187551081092,2029.8185289652108,2297.905363343714,615.7552865631161,3313.6399130389323,2522.5021867238224,1993.996048763129,7984.723252606328,9210.781246957442,9606.532600650213,9238.754311600058,7430.810190972886,8439.68692545133,6278.910178982761,6435.45794868124,5774.134324642482,4569.248929118571,1979.4999584559048,2959.291877745836,3452.328748944099,3307.3363577379805,1254.2339430900124,4553.656081217311,4717.298735091493,4579.088406604313,2425.5783764169773,4754.101929553422,4848.999813597029,4600.142390149703,5539.104214142152,4235.725484364362,5294.482034088267,4769.620836892829,5179.972592204889,4847.771362115203,4426.1120301395795,3833.5107875679387,3468.81044207967,2597.4508160643013,4306.257869860824,4097.735642566129,7184.978231476703
Taman Apsari,579.5651725404896,389.99498945320033,947.1466015406074,783.3077996620906,254.32231856365237,511.1047606132613,0.0,1088.1783074151804,824.3631547638571,784.7266816864553,1524.593655811177,1809.2529528368186,292.7302951746454,2811.671602912088,2102.4144501540595,1596.4438372318527,7917.070097050815,9165.713291098504,9539.347061843302,9148.918401179424,7383.490442470475,8393.881320235676,6006.058547058626,6473.478607112615,5882.865648728041,4777.8830179467295,2264.634061438872,3245.467037338311,3788.6153410384077,3698.388259130022,1480.115147686884,4911.144546020082,5227.867717480661,5090.1199676636315,2767.7725394392846,5204.091204059131,4359.861765282768,4126.774331556856,5038.962839795409,3775.7326300888753,4830.735241644192,4277.078960054991,4670.893494345215,4352.722621953533,3989.663943276333,3423.7626275589337,3886.572282467226,3027.0996325046817,4699.703197259447,4495.034376635051,7539.64416146425
Monumen Kapal Selam,1605.4640659883494,774.4441110422792,1873.8917896557673,1714.5733847029062,1066.9135883157262,906.914779533973,1088.1783074151804,0.0,275.5831866936918,1078.2389061331817,2411.978629251745,2759.674911040935,1353.891168720247,3377.563963106716,3157.475076855209,1763.3336260899698,8890.359923899923,10117.673154047652,10512.422817045524,10141.908186282912,8337.58669165485,9346.548287573036,7092.183306695514,7334.20597377366,6650.488337569634,5390.504500737221,1185.7562691276848,2160.9310702506914,2723.859042514798,2688.5853336338187,393.26820367812826,3855.9657138542825,4662.599576225681,4554.533024018131,1718.5867493769322,4285.008487723638,4779.855362884828,4457.116994542785,5532.51481460046,4047.2552569461845,5096.461003311348,4722.6715585820775,5280.1268355767625,4815.530115805709,4150.655399797261,3498.3861806226055,4015.722444502917,3144.8625878596927,4889.773899924706,4676.857205084804,7813.205239165831
Plaza Surabaya,1330.4036109106887,498.86118656125905,1600.5691720847217,1440.3755045465532,791.3931854960416,727.5234998746641,824.3631547638571,275.5831866936918,0.0,844.6181803396146,2143.6810280424597,2487.4436660731226,1099.7158149788136,3158.252543089329,2882.3202015786455,1593.7296220386675,8679.523533728436,9914.614477556526,10302.182327714778,9924.435682049343,8133.077813109302,9142.968722856338,6830.312378385166,7158.675143869255,6501.507402052837,5281.59183040046,1460.743494217166,2433.62774498447,2999.433306745687,2959.3209949599564,666.8271843845966,4131.467406070147,4845.400984333523,4730.073567392047,1993.241008877003,4542.509505471602,4594.756156879318,4288.873721986382,5335.372458982075,3889.158101539955,4944.6999463759375,4532.290261240976,5060.787769543896,4622.133981948194,4017.4149746113176,3380.1285189912996,4024.9236407717594,3148.9907114498624,4888.636654169122,4676.753086206959,7799.316854264825
Taman Prestasi,881.0707262239113,536.10545953953,951.1311859453133,830.6185610137527,536.5444265774506,1151.5187551081092,784.7266816864553,1078.2389061331817,844.6181803396146,0.0,1402.6534763560715,1779.2781999710035,1025.8130918820357,2314.380992217222,2300.749241197045,842.5206949569736,8534.65715520523,9799.891981853825,10152.441706110028,9741.158949289875,8021.246365503724,9029.54205108153,6386.070426118099,7178.633929180233,6628.533002068674,5557.419096322583,2175.986239951833,3093.1305900688476,3708.0088820228193,3734.5650911348725,1412.387994864824,4845.0840483872835,5677.915928872983,5557.84184037115,2744.379979490001,5357.889441850374,3774.0872429317274,3490.567565592373,4502.172275312221,3108.5765784881514,4168.534838434345,3706.2036116472555,4216.5164091267325,3792.9994834608906,3280.028691414489,2681.992172228269,4619.016600040951,3748.7488895055158,5450.19488257105,5242.934870249245,8310.529906847034
