,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Hotel Sheraton Surabaya,0.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,-4.0,4.0,-2.0,0.0,1.0,-1.0,1.0,1.0,-2.0,17.0,16.0,23.0,20.0,18.0,17.0,-5.0,11.0,19.0,12.0,0.0,-1.0,-5.0,-4.0,0.0,-4.0,-1.0,-2.0,-3.0,-1.0,3.0,3.0,-2.0,1.0,-2.0,-2.0,-5.0,-3.0,-3.0,-1.0,2.0,1.0,1.0,4.0,0.0
Alun-Alun Surabaya,0.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,-4.0,4.0,-2.0,0.0,1.0,-1.0,1.0,1.0,-2.0,17.0,16.0,23.0,20.0,18.0,17.0,-5.0,11.0,19.0,12.0,0.0,-1.0,-5.0,-4.0,0.0,-4.0,-1.0,-2.0,-3.0,-1.0,3.0,3.0,-2.0,1.0,-2.0,-2.0,-5.0,-3.0,-3.0,-1.0,2.0,1.0,1.0,4.0,0.0
Jalan Tunjungan,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Hotel Majapahit,-2.0,-2.0,-3.0,0.0,-3.0,-3.0,-3.0,-6.0,2.0,-4.0,-2.0,-1.0,-3.0,-1.0,-1.0,-4.0,15.0,14.0,21.0,18.0,16.0,15.0,-7.0,9.0,17.0,10.0,-2.0,-3.0,-7.0,-6.0,-2.0,-6.0,-3.0,-4.0,-5.0,-3.0,1.0,1.0,-4.0,-1.0,-4.0,-4.0,-7.0,-5.0,-5.0,-3.0,0.0,-1.0,-1.0,2.0,-2.0
Gedung Negara Grahadi,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Monumen Bambu Runcing,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Taman Apsari,1.0,1.0,0.0,3.0,0.0,0.0,0.0,-3.0,5.0,-1.0,1.0,2.0,0.0,2.0,2.0,-1.0,18.0,17.0,24.0,21.0,19.0,18.0,-4.0,12.0,20.0,13.0,1.0,0.0,-4.0,-3.0,1.0,-3.0,0.0,-1.0,-2.0,0.0,4.0,4.0,-1.0,2.0,-1.0,-1.0,-4.0,-2.0,-2.0,0.0,3.0,2.0,2.0,5.0,1.0
Monumen Kapal Selam,4.0,4.0,3.0,6.0,3.0,3.0,3.0,0.0,8.0,2.0,4.0,5.0,3.0,5.0,5.0,2.0,21.0,20.0,27.0,24.0,22.0,21.0,-1.0,15.0,23.0,16.0,4.0,3.0,-1.0,0.0,4.0,0.0,3.0,2.0,1.0,3.0,7.0,7.0,2.0,5.0,2.0,2.0,-1.0,1.0,1.0,3.0,6.0,5.0,5.0,8.0,4.0
Plaza Surabaya,-4.0,-4.0,-5.0,-2.0,-5.0,-5.0,-5.0,-8.0,0.0,-6.0,-4.0,-3.0,-5.0,-3.0,-3.0,-6.0,13.0,12.0,19.0,16.0,14.0,13.0,-9.0,7.0,15.0,8.0,-4.0,-5.0,-9.0,-8.0,-4.0,-8.0,-5.0,-6.0,-7.0,-5.0,-1.0,-1.0,-6.0,-3.0,-6.0,-6.0,-9.0,-7.0,-7.0,-5.0,-2.0,-3.0,-3.0,0.0,-4.0
Taman Prestasi,2.0,2.0,1.0,4.0,1.0,1.0,1.0,-2.0,6.0,0.0,2.0,3.0,1.0,3.0,3.0,0.0,19.0,18.0,25.0,22.0,20.0,19.0,-3.0,13.0,21.0,14.0,2.0,1.0,-3.0,-2.0,2.0,-2.0,1.0,0.0,-1.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,-3.0,-1.0,-1.0,1.0,4.0,3.0,3.0,6.0,2.0
