,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Hotel Sheraton Surabaya,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Alun-Alun Surabaya,3.0,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Jalan Tunjungan,3.0,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Hotel Majapahit,3.0,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Gedung Negara Grahadi,3.0,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Monumen Bambu Runcing,3.0,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Taman Apsari,3.0,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Monumen Kapal Selam,3.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Plaza Surabaya,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
Taman Prestasi,3.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,4.0,4.0,4.0,4.0,4.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0,4.0
