Algoritma,Run,Score,Dist_km,MaxFatigue,Violations
ACO,1,168.75885969407864,84.3554,17.76138387763145,4
ACO,2,166.5114558347036,86.96079999999999,15.820262333881447,4
ACO,3,164.28179100819415,85.82939999999999,19.380956403277665,3
ACO,4,169.08045810088115,84.85289999999999,17.69102324035246,4
ACO,5,165.53651674992,85.1164,20.168046699968,3
ACO,6,164.0730483324574,87.76979999999999,18.52129933298297,3
ACO,7,167.8963565164327,85.567,16.931742606573078,4
ACO,8,166.5114558347036,86.96079999999999,15.820262333881447,4
ACO,9,164.9118465026462,88.28460000000001,18.65089860105848,3
ACO,10,163.99777604778814,85.94429999999998,19.22139041911526,3
SA,1,197.75387239958584,92.2781,14.190308959834342,7
SA,2,217.74692395602682,89.9958,15.100449582410722,9
SA,3,212.25973172667273,95.25390000000002,14.80233269066908,8
SA,4,209.5634579305846,93.78439999999998,14.31162317223385,8
SA,5,201.1122789719061,82.66239999999999,15.379951588762442,8
SA,6,202.16733911795836,89.41099999999997,17.10253564718336,7
SA,7,202.06906224467394,95.5093,14.62390489786958,7
SA,8,208.2269591549792,87.78070000000001,16.178503661991677,8
SA,9,219.3286681122679,94.93229999999998,13.758547244907172,9
SA,10,211.27935856236417,91.409,15.948143424945668,8
GA,1,178.9169043801213,93.73639999999997,18.07220175204854,4
GA,2,180.67569999999998,93.52569999999997,18.86,4
GA,3,176.13083722175398,94.98850000000002,16.456934888701586,4
GA,4,190.0637,102.9137,18.86,4
GA,5,165.528901688109,99.7063,18.329040675243597,2
GA,6,194.8841,107.73409999999998,18.86,4
GA,7,191.18774085865496,104.0436,18.857656343461986,4
GA,8,184.81369999999998,97.66369999999999,18.86,4
GA,9,182.8289504406112,97.0236,18.322140176244478,4
GA,10,186.16894906450818,90.0997,18.427699625803267,5
