Algoritma,Run,Score,Dist_km,MaxFatigue,Violations
ACO,1,168.75885969407864,84.3554,17.76138387763145,4
ACO,2,169.99383655858156,85.76110000000001,17.693094623432614,4
ACO,3,162.33025035918627,84.80839999999999,19.008740143674512,3
ACO,4,165.36074807235417,83.00559999999999,16.942059228941666,4
ACO,5,167.75609589995912,87.9321,15.92959835998365,4
ACO,6,163.29338070505912,85.10080000000002,19.277032282023644,3
ACO,7,168.75885969407864,84.3554,17.76138387763145,4
ACO,8,167.71015888249866,85.35689999999998,16.94130355299947,4
ACO,9,165.3930405483793,89.9377,18.182136219351722,3
ACO,10,165.53651674992,85.1164,20.168046699968,3
SA,1,166.68189999999998,89.53189999999998,18.86,3
SA,2,157.56605442218012,91.5238,18.416901768872044,2
SA,3,160.79946415981675,89.75699999999999,16.41698566392671,3
SA,4,161.6204093944273,91.8797,15.896283757770918,3
SA,5,160.73900338738775,92.6888,15.220081354955097,3
SA,6,170.7619067659249,96.77729999999998,17.59384270636997,3
SA,7,168.431476684874,90.24059999999999,15.276350673949608,4
SA,8,168.38760283937052,87.4766,16.364401135748206,4
SA,9,174.565969113875,87.44269999999999,18.849307645550013,4
SA,10,170.881,93.731,18.86,3
PSO,1,210.6199153826634,105.3689,18.10040615306536,6
PSO,2,196.71890000000002,99.56890000000001,18.86,5
PSO,3,196.11981468728456,102.17190000000001,17.57916587491382,5
PSO,4,184.34028247477067,91.42790000000001,17.164952989908272,5
PSO,5,211.95281319999998,117.56189999999998,17.75636528,5
PSO,6,194.16041298876596,98.83070000000001,18.13188519550638,5
PSO,7,202.1340991046321,103.08070000000002,19.621359641852834,5
PSO,8,200.88729999999998,103.73729999999999,18.86,5
PSO,9,206.4596647298618,104.3186,16.856425891944713,6
PSO,10,197.40480569040704,98.1946,19.68408227616282,5
GA,1,200.2989720847276,94.71950000000002,18.231788833891038,6
GA,2,198.72368339279998,103.9236,17.920033357119998,5
GA,3,195.75387999999998,101.29019999999998,17.785472,5
GA,4,187.00768959969736,99.42090000000002,19.034715839878942,4
GA,5,173.92325619698158,86.6895,18.89350247879264,4
GA,6,184.09044446106765,99.33679999999998,17.901457784427063,4
GA,7,184.47002303131336,100.0218,17.779289212525345,4
GA,8,188.86543994594462,94.617,17.69937597837784,5
GA,9,177.00836434043907,88.96419999999995,19.217665736175647,4
GA,10,183.87835390734014,97.35360000000003,18.60990156293604,4
