No,Nama Destinasi,Latitude,Longitude,Daerah
1,Alun-Alun Surabaya,-7.26359,112.745317,Pusat
2,Jalan Tunjungan,-7.25935,112.738873,Pusat
3,Hotel Majapahit,-7.260158,112.739698,Pusat
4,Gedung Negara Grahadi,-7.262953,112.743378,Pusat
5,Monumen Bambu Runcing,-7.267778,112.744399,Pusat
6,Taman Apsari,-7.264617,112.742802,Pusat
7,Monumen Kapal Selam,-7.265591,112.750327,Pusat
8,Plaza Surabaya,-7.264877,112.748545,Pusat
9,Taman Prestasi,-7.259885,112.745484,Pusat
10,Gedung Siola,-7.256157,112.736453,Pusat
11,Pasar Blauran,-7.255906,112.733742,Pusat
12,Jalan Basuki Rahmat,-7.265324,112.740889,Pusat
13,Monumen Tugu Pahlawan,-7.245814,112.737784,Pusat
14,Jalan Kedungdoro,-7.2585,112.7295,Pusat
15,Taman Ekspresi,-7.2541,112.7462,Pusat
16,Jalan Raya Darmo Permai,-7.2841,112.6912,Barat
17,Graha Famili Timur,-7.28954,112.684025,Barat
18,Spazio Jalan Yono Soewoyo,-7.287814,112.68052,Barat
19,Plaza Segi Delapan,-7.284241,112.682142,Barat
20,Jalan HR Muhammad,-7.2848,112.6955,Barat
21,Taman Pradah Kalikendal,-7.2875,112.689,Barat
22,Kawasan Sukomanunggal,-7.262,112.701,Barat
23,Jalan Raya Kupang Indah,-7.2891,112.705,Barat
24,Taman Makam Pahlawan Mayjen Sungkono,-7.2915,112.712,Barat
25,Ciputra World Surabaya,-7.2912,112.723,Barat
26,Kampus B Unair,-7.2681,112.7582,Timur
27,Jalan Dharmahusada,-7.269,112.765,Timur
28,Taman Mojo,-7.2725,112.768,Timur
29,Jalan Manyar Kertoarjo,-7.2758,112.766,Timur
30,Kampus A Unair Kedokteran,-7.2662,112.753,Timur
31,Jalan Kertajaya Indah,-7.2762,112.775,Timur
32,Taman Flora Bratang,-7.296214,112.76054,Timur
33,Taman Kebun Bibit Bratang,-7.29584,112.759215,Timur
34,Jalan Karang Menur,-7.271,112.761,Timur
35,Kawasan Menur Pumpungan,-7.286,112.772,Timur
36,Jembatan Merah Surabaya,-7.234812,112.738145,Utara
37,Kya-Kya Kembang Jepun,-7.236112,112.741215,Utara
38,House of Sampoerna,-7.230815,112.734215,Utara
39,Stasiun Surabaya Kota (Semut),-7.2385,112.7432,Utara
40,Kawasan Ampel Suci,-7.2312,112.7425,Utara
41,Taman Jayengrono,-7.2355,112.7375,Utara
42,Jalan Rajawali,-7.2345,112.731,Utara
43,Gedung Cerutu,-7.2351,112.7368,Utara
44,Jalan Kembang Jepun Timur,-7.2372,112.746,Utara
45,Kawasan Kapasan,-7.2415,112.748,Utara
46,Taman Bungkul,-7.29134,112.739815,Selatan
47,Jalan Raya Darmo (CFD),-7.28552,112.74153,Selatan
48,Kebun Binatang Surabaya,-7.29653,112.73654,Selatan
49,Patung Suro dan Boyo,-7.295215,112.737214,Selatan
50,Kawasan Kampus Ketintang Unesa,-7.314215,112.72653,Selatan
